,品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,印刷～検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,回収かんばん数
28,1040183011P    ,2023,39,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,4.0,0.915,0.2250000000000001,0.6799999999999998,0.4500000000000002,1.31,2.4210000000000003,（株）青山製作所,12
29,2030044001J    ,2023,36,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,1.7999999999999998,0.2900000000000005,1.0099999999999998,0.48,2.0400000000000005,1.0425,ＮＯＫ（株）,3
30,2030044001J    ,2023,37,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,1.53,0.24499999999999966,0.4600000000000002,1.4,2.0999999999999996,0.92875,ＮＯＫ（株）,4
31,2030044001J    ,2023,38,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,1.53,0.2699999999999998,0.98,0.5699999999999994,3.72,0.945,ＮＯＫ（株）,5
32,2030044001J    ,2023,39,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,1.53,0.24,1.2400000000000002,0.56,2.04,0.9675,ＮＯＫ（株）,5
33,2030045013L    ,2023,36,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,2.04,0.3500000000000001,0.28,0.08499999999999996,0.7349999999999999,1.21125,伊藤金属工業（株）,4
34,2030045013L    ,2023,37,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,4.0200000000000005,0.3799999999999999,3.7800000000000002,0.9100000000000001,4.16,1.0835,伊藤金属工業（株）,5
35,2030045013L    ,2023,38,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,2.04,0.13999999999999968,0.48999999999999977,1.1500000000000004,5.62,1.1265,伊藤金属工業（株）,5
36,2030045013L    ,2023,39,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,2.045,0.38000000000000034,4.405,1.0549999999999997,6.659999999999999,1.1235,伊藤金属工業（株）,6
37,2030052002N    ,2023,36,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,2.0,0.55,0.21999999999999997,0.9999999999999996,0.55,1.9,3.15,（株）杉浦製作所,13
38,2030052002N    ,2023,37,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,2.0,0.54,0.20000000000000007,0.8900000000000001,0.79,1.81,2.82,（株）杉浦製作所,15
39,2030052002N    ,2023,38,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.0,0.51,0.18999999999999995,0.7050000000000001,0.45500000000000007,2.53,2.9233333333333333,（株）杉浦製作所,16
40,2030052002N    ,2023,39,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.0,0.55,0.18999999999999995,2.03,0.45999999999999996,2.63,2.9266666666666667,（株）杉浦製作所,13
41,3040052001B    ,2023,35,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,1.0,0.8599999999999999,0.3350000000000001,0.375,0.2300000000000001,0.9400000000000002,0.0,（株）青山製作所,2
42,3040052001B    ,2023,36,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,2.5,0.9099999999999999,0.18000000000000005,0.265,0.21499999999999997,0.8300000000000001,8.628,（株）青山製作所,32
43,3040052001B    ,2023,37,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0,0.91,0.15999999999999992,0.22999999999999998,0.4099999999999997,0.79,8.628,（株）青山製作所,37
44,3040052001B    ,2023,38,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,4.0,0.9249999999999999,0.21499999999999997,0.17500000000000027,0.30500000000000005,0.7649999999999999,8.014,（株）青山製作所,34
45,3040052001B    ,2023,39,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,2.5,0.9349999999999999,0.24,0.23500000000000032,0.30000000000000004,1.1749999999999998,8.006,（株）青山製作所,46
46,33490ECB010    ,2023,35,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.0,1.97,0.20000000000000018,0.45999999999999996,0.16999999999999993,0.8900000000000001,0.0,マレリ（株）,23
47,33490ECB010    ,2023,36,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.0,1.97,0.20000000000000018,0.5899999999999999,0.15999999999999925,0.9900000000000002,102.75,マレリ（株）,509
48,33490ECB010    ,2023,37,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,2.0,2.0,0.3799999999999999,0.4299999999999997,0.16000000000000014,0.9100000000000001,93.0,マレリ（株）,495
49,33490ECB010    ,2023,38,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,2.0,1.9899999999999998,0.40000000000000036,0.5499999999999998,0.16999999999999993,0.9699999999999998,94.5,マレリ（株）,473
50,33490ECB010    ,2023,39,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.0,2.7299999999999995,0.15000000000000036,0.7199999999999998,0.18000000000000016,1.1399999999999997,96.75,マレリ（株）,511
51,33490ECE010    ,2023,35,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.0,1.97,0.10999999999999988,0.5500000000000003,0.14000000000000012,0.9199999999999999,0.0,マレリ（株）,19
52,33490ECE010    ,2023,36,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.0,1.97,0.2599999999999998,0.7600000000000002,0.1200000000000001,1.19,133.5,マレリ（株）,671
53,33490ECE010    ,2023,37,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,2.0,2.0,0.2599999999999998,0.6399999999999997,0.14000000000000012,1.1399999999999997,118.75,マレリ（株）,651
54,33490ECE010    ,2023,38,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,2.0,1.9899999999999998,0.25,0.7699999999999996,0.14999999999999947,1.2299999999999995,124.75,マレリ（株）,628
55,33490ECE010    ,2023,39,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.0,2.7299999999999995,0.14000000000000012,0.9500000000000002,0.14000000000000057,1.3500000000000003,123.25,マレリ（株）,640
56,34989ECB010    ,2023,38,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,4.23,0.33999999999999986,8.790000000000001,2.139999999999999,11.23,0.468,（株）槌屋,3
57,34989ECB010    ,2023,39,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,3.24,0.33999999999999986,3.8899999999999997,3.0000000000000004,7.23,0.486,（株）槌屋,2
58,34989ECB020    ,2023,36,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,4.23,0.4700000000000002,0.7700000000000005,0.6899999999999995,1.9800000000000004,1.89,（株）槌屋,3
59,34989ECB020    ,2023,37,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,2.29,0.35999999999999965,5.75,0.5099999999999998,6.5600000000000005,1.791,（株）槌屋,8
60,34989ECB020    ,2023,38,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,3.225,0.33999999999999986,4.095000000000001,0.6499999999999995,6.74,1.754,（株）槌屋,10
61,34989ECB020    ,2023,39,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,2.245,0.345,4.685,0.6200000000000001,6.26,1.815,（株）槌屋,10
62,34989ECB030    ,2023,36,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,4.23,0.3700000000000001,3.1099999999999994,0.9200000000000008,4.4,0.0,（株）槌屋,1
63,34989ECB030    ,2023,37,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,4.23,0.3700000000000001,6.44,1.7699999999999996,8.5,0.846,（株）槌屋,3
64,34989ECB030    ,2023,38,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,2.24,0.2999999999999998,6.000000000000001,0.9600000000000009,7.029999999999999,0.877,（株）槌屋,5
65,34989ECB030    ,2023,39,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,2.24,0.3599999999999999,5.43,0.79,6.54,0.9075,（株）槌屋,4
66,34989ECC010    ,2023,39,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,3.2350000000000003,0.34999999999999964,14.274999999999999,4.865000000000002,19.490000000000002,0.15,（株）槌屋,2
67,34989ECE010    ,2023,38,0.72,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,2.2199999999999998,0.4700000000000002,10.5,7.449999999999999,18.419999999999998,0.3,（株）槌屋,1
68,34989ECE020    ,2023,37,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,4.265000000000001,0.3299999999999996,2.22,4.305,6.855,0.247,（株）槌屋,2
69,34989ECE020    ,2023,38,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,4.24,0.29000000000000004,6.21,2.950000000000001,9.450000000000001,0.43,（株）槌屋,1
70,34989ECE020    ,2023,39,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,2.24,0.365,5.305,4.385,10.055,0.47,（株）槌屋,2
71,34989ECE030    ,2023,39,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,4.23,0.35999999999999943,16.939999999999998,6.330000000000002,23.630000000000003,0.252,（株）槌屋,1
72,35141ECB010    ,2023,39,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16.0,11.0,0.89,0.019999999999999796,0.44000000000000017,0.10000000000000009,0.57,24.1875,（株）アイシン福井,111
73,35141ECE010    ,2023,39,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20.0,12.0,0.8399999999999999,0.0,0.8499999999999999,0.11000000000000032,1.0699999999999998,24.55,（株）アイシン福井,111
74,35145ECB010    ,2023,36,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,1.76,0.2999999999999997,1.7600000000000002,0.41000000000000014,2.455,4.11,三共鋼業（株）,16
75,35145ECB010    ,2023,37,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,3.75,0.10000000000000009,1.74,0.2999999999999998,2.4099999999999997,3.72,三共鋼業（株）,17
76,35145ECB010    ,2023,38,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,1.76,0.29500000000000004,1.7950000000000004,0.2799999999999998,2.9299999999999997,3.78,三共鋼業（株）,20
77,35145ECB010    ,2023,39,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,1.755,0.10000000000000009,1.9500000000000002,0.38500000000000023,3.02,3.87,三共鋼業（株）,20
78,35145ECE010    ,2023,36,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.755,0.30000000000000027,1.2350000000000003,0.4800000000000004,2.24,5.29,三共鋼業（株）,22
79,35145ECE010    ,2023,37,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,1.76,0.10000000000000009,1.3200000000000003,0.4900000000000002,1.9300000000000002,4.75,三共鋼業（株）,21
80,35145ECE010    ,2023,38,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,1.76,0.2899999999999998,1.5700000000000003,0.5349999999999999,2.5349999999999997,4.99,三共鋼業（株）,24
81,35145ECE010    ,2023,39,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,1.76,0.09999999999999987,1.3,0.5099999999999998,1.9500000000000002,4.93,三共鋼業（株）,25
82,35145ECE020    ,2023,36,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.0,1.3650000000000002,0.31000000000000005,0.765,0.21999999999999997,1.58,5.29,（株）浅賀井製作所,24
83,35145ECE020    ,2023,37,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.5,1.35,0.31000000000000005,1.1900000000000002,0.3700000000000001,1.8150000000000002,5.045,（株）浅賀井製作所,26
84,35145ECE020    ,2023,38,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,3.0,1.44,0.29000000000000004,0.9499999999999997,0.3700000000000001,1.7799999999999998,4.99,（株）浅賀井製作所,25
85,35145ECE020    ,2023,39,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,3.0,1.44,0.33999999999999986,1.19,0.4399999999999995,2.08,4.93,（株）浅賀井製作所,25
86,35165ECE010    ,2023,36,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,1.25,0.33999999999999986,2.07,0.18999999999999995,2.4699999999999998,2.645,（株）松尾製作所,7
87,35165ECE010    ,2023,37,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,1.24,0.3500000000000001,1.35,0.4900000000000002,2.6,2.375,（株）松尾製作所,13
88,35165ECE010    ,2023,38,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,1.24,0.3500000000000001,2.4899999999999998,0.44999999999999996,3.35,2.495,（株）松尾製作所,13
89,35165ECE010    ,2023,39,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,1.24,0.365,2.695,0.4750000000000001,4.01,2.525,（株）松尾製作所,12
90,35174ECB010    ,2023,35,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,1.0,1.1,0.18999999999999995,0.3900000000000001,0.17999999999999972,0.7599999999999998,0.0,（株）浅賀井製作所,1
91,35174ECB010    ,2023,36,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,3.0,1.36,0.22999999999999998,0.75,0.13999999999999968,1.1500000000000004,20.55,（株）浅賀井製作所,95
92,35174ECB010    ,2023,37,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,3.0,1.34,0.21999999999999997,0.5900000000000001,0.16999999999999993,1.18,18.6,（株）浅賀井製作所,99
93,35174ECB010    ,2023,38,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,3.0,1.34,0.27,0.7599999999999998,0.19999999999999984,1.27,18.9,（株）浅賀井製作所,94
94,35174ECB010    ,2023,39,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,2.0,1.44,0.20999999999999996,1.0,0.17999999999999972,1.4550000000000003,19.35,（株）浅賀井製作所,100
95,35174ECE010    ,2023,36,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,3.0,1.37,0.22999999999999976,1.4700000000000002,0.31000000000000005,2.08,13.225,（株）浅賀井製作所,55
96,35174ECE010    ,2023,37,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,2.0,1.36,0.21999999999999997,1.0999999999999999,0.3200000000000003,1.77,11.875,（株）浅賀井製作所,63
97,35174ECE010    ,2023,38,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,3.0,1.34,0.27,0.77,0.33000000000000007,1.94,12.475,（株）浅賀井製作所,61
98,35174ECE010    ,2023,39,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,2.0,1.34,0.20999999999999996,0.8800000000000001,0.29499999999999993,1.6050000000000002,12.325,（株）浅賀井製作所,64
99,35174ECE020    ,2023,36,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,3.0,1.44,0.22999999999999998,2.1399999999999997,0.10000000000000053,2.54,5.877777777777778,（株）浅賀井製作所,23
100,35174ECE020    ,2023,37,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,2.0,1.34,0.21999999999999997,1.5900000000000007,0.11999999999999966,2.0100000000000002,5.277777777777778,（株）浅賀井製作所,29
101,35174ECE020    ,2023,38,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,3.0,1.34,0.30000000000000027,1.9049999999999998,0.14500000000000002,2.3049999999999997,5.544444444444444,（株）浅賀井製作所,28
102,35174ECE020    ,2023,39,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,2.0,1.3900000000000001,0.2350000000000001,1.8149999999999997,0.10000000000000031,2.07,5.477777777777778,（株）浅賀井製作所,28
103,3519510A010    ,2023,36,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,2.0,3.25,0.21999999999999975,1.8600000000000003,0.5899999999999999,2.67,0.685,中庸スプリング（株）,1
104,3519510A010    ,2023,37,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,1.0,1.9049999999999998,0.1250000000000001,1.1099999999999999,0.7050000000000003,1.9400000000000002,0.6533333333333333,中庸スプリング（株）,2
105,3519510A010    ,2023,38,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,1.0,0.9199999999999999,0.08000000000000007,7.6899999999999995,0.7699999999999996,8.4,0.63,中庸スプリング（株）,3
106,3519510A010    ,2023,39,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,2.0,3.17,0.27,2.03,0.6300000000000008,3.64,0.645,中庸スプリング（株）,3
107,35195ECE010    ,2023,36,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,2.755,0.2999999999999997,2.225,0.38000000000000034,2.9099999999999993,2.6574999999999998,三共鋼業（株）,10
108,35195ECE010    ,2023,37,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,2.755,0.19499999999999995,3.7950000000000004,0.12500000000000044,4.095,2.5225,三共鋼業（株）,8
109,35195ECE010    ,2023,38,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,3.755,0.20500000000000007,3.3549999999999995,0.3600000000000003,4.07,2.495,三共鋼業（株）,12
110,35195ECE010    ,2023,39,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,1.76,0.2899999999999998,3.99,0.31000000000000005,4.335,2.52,三共鋼業（株）,12
111,35195TFG010    ,2023,36,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,3.75,0.2899999999999996,2.09,0.4400000000000004,3.11,2.67,三共鋼業（株）,7
112,35195TFG010    ,2023,37,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,1.76,0.10000000000000009,2.0200000000000005,0.5099999999999998,3.2899999999999996,2.37,三共鋼業（株）,13
113,35195TFG010    ,2023,38,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,1.76,0.2899999999999998,1.75,0.54,2.73,2.495,三共鋼業（株）,11
114,35195TFG010    ,2023,39,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,1.75,0.09999999999999998,1.8649999999999998,0.32499999999999973,3.0149999999999997,2.585,三共鋼業（株）,12
115,35198ECE010    ,2023,36,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200.0,1.0,1.83,0.2450000000000001,1.98,0.19000000000000017,2.3049999999999997,2.645,サトープレス工業（株）,10
116,35198ECE010    ,2023,37,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200.0,1.0,1.8399999999999999,0.2100000000000002,1.885,0.2200000000000002,2.27,2.5225,サトープレス工業（株）,12
117,35198ECE010    ,2023,38,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200.0,1.0,3.8200000000000003,0.18000000000000016,3.08,0.2600000000000007,3.6199999999999997,2.495,サトープレス工業（株）,13
118,35198ECE010    ,2023,39,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200.0,1.0,1.8199999999999998,0.18500000000000005,3.015,0.1900000000000004,3.3900000000000006,2.525,サトープレス工業（株）,12
119,35300ECB010    ,2023,36,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12.0,3.0,0.9800000000000001,0.69,1.49,0.16000000000000014,2.19,78.75,アイシン精機（株）,277
120,35300ECB010    ,2023,37,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12.0,2.0,0.97,0.31999999999999984,1.84,0.19999999999999973,2.39,70.5,アイシン精機（株）,377
121,35300ECB010    ,2023,38,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12.0,3.0,0.9800000000000001,0.32000000000000006,2.0600000000000005,0.20999999999999996,2.845,73.08333333333333,アイシン精機（株）,358
