,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,印刷～検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,回収かんばん数,社内LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程
373,82821ECE010    ,2023,38,32.0,0.0,0.0,1.07,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,50.0,1.0,1.8499999999999999,0.28,5.244999999999999,0.1499999999999999,5.76,9.98,石黒ゴム工業（株）,50,5.383177570093458,13.820744938152163,0.29,1.6571943390497332,99.905,450.0,-0.030303030303030276,0.03411131059245953,0.0,8.ファイナル後半
526,82821ECE010    ,2023,39,33.0,0.0,0.0,1.07,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,50.0,2.0,1.8499999999999999,0.3799999999999999,4.96,0.1900000000000004,5.6,9.86,石黒ゴム工業（株）,51,5.233644859813084,14.426103378331117,0.29,1.662543610711679,99.955,464.0,0.03125,-0.02777777777777779,0.020000000000000018,8.ファイナル後半
96,82821XAE010    ,2023,36,21.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,100.0,1.0,3.27,0.30000000000000027,2.36,0.11500000000000021,2.87,9.45,石黒ゴム工業（株）,32,3.298850574712644,9.578544061302681,0.29,1.421219367841314,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
231,82821XAE010    ,2023,37,20.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,100.0,1.0,1.8499999999999999,0.22999999999999998,2.455,0.15999999999999992,2.865,8.46,石黒ゴム工業（株）,46,3.2931034482758625,10.18994049074753,0.29,1.3474419042821848,99.44,462.0,-0.04761904761904767,-0.0017421602787456303,0.4375,8.ファイナル後半
374,82821XAE010    ,2023,38,20.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,100.0,2.0,1.8499999999999999,0.31499999999999984,2.82,0.18500000000000005,3.7849999999999997,8.77,石黒ゴム工業（株）,44,4.350574712643678,9.829748751621906,0.29,1.3648850394207828,99.905,450.0,0.0,0.3211169284467712,-0.04347826086956519,8.ファイナル後半
527,82821XAE010    ,2023,39,23.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,100.0,2.0,1.8499999999999999,0.3400000000000003,2.5,0.16999999999999993,3.06,8.78,石黒ゴム工業（株）,45,3.5172413793103448,11.29133610871102,0.29,1.4267692587111374,99.955,464.0,0.1499999999999999,-0.19154557463672384,0.022727272727272707,8.ファイナル後半
97,82821XAE020    ,2023,36,2.0,0.0,0.0,0.81,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400.0,1.5,1.565,0.42500000000000016,1.72,1.36,3.505,1.0425,石黒ゴム工業（株）,2,4.32716049382716,8.269246671628213,0.29,0.22617726668291746,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
232,82821XAE020    ,2023,37,1.0,0.0,0.0,0.81,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400.0,1.5,2.565,0.275,1.2449999999999997,1.2500000000000002,3.27,0.92875,石黒ゴム工業（株）,6,4.037037037037037,4.641017310994569,0.29,0.19410579089120736,99.44,462.0,-0.5,-0.06704707560627676,2.0,8.ファイナル後半
375,82821XAE020    ,2023,38,1.0,0.0,0.0,0.81,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400.0,1.0,1.8499999999999999,0.27000000000000024,0.6399999999999997,1.17,2.8699999999999997,0.945,石黒ゴム工業（株）,5,3.543209876543209,4.561211457763181,0.29,0.19681314418791818,99.905,450.0,0.0,-0.12232415902140681,-0.16666666666666663,8.ファイナル後半
528,82821XAE020    ,2023,39,2.0,0.0,0.0,0.81,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400.0,1.0,2.85,0.35499999999999976,0.9949999999999999,1.4650000000000007,3.67,1.00875,石黒ゴム工業（株）,4,4.530864197530864,8.545912917147371,0.29,0.21976270113936716,99.955,464.0,1.0,0.2787456445993033,-0.19999999999999996,8.ファイナル後半
98,82824ECB010    ,2023,36,11.0,0.0,0.0,0.57,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,32.0,1.0,1.85,0.20999999999999996,0.8049999999999999,0.2300000000000002,1.2600000000000002,12.84375,矢崎総業（株）,60,2.2105263157894743,3.0697049769336084,0.0,0.6644260417755404,99.89500000000001,480.0,0.0,0.0,0.0,2.MGケース
233,82824ECB010    ,2023,37,7.0,0.0,0.0,0.57,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,32.0,1.0,1.85,0.2100000000000002,0.5799999999999998,0.21499999999999986,1.0299999999999998,11.625,矢崎総業（株）,62,1.807017543859649,2.158245654603615,0.0,0.4873126191351243,99.44,462.0,-0.36363636363636365,-0.1825396825396829,0.03333333333333344,2.MGケース
376,82824ECB010    ,2023,38,8.0,0.0,0.0,0.57,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,32.0,1.0,1.8399999999999999,0.22999999999999998,0.7199999999999998,0.16000000000000014,1.1900000000000002,11.8125,矢崎総業（株）,59,2.0877192982456143,2.4274146137945416,0.0,0.5394274388073409,99.905,450.0,0.1428571428571428,0.1553398058252431,-0.048387096774193505,2.MGケース
529,82824ECB010    ,2023,39,8.0,0.0,0.0,0.57,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,32.0,1.0,1.85,0.21999999999999997,0.7699999999999996,0.14000000000000012,1.19,12.09375,矢崎総業（株）,63,2.0877192982456143,2.370963111148157,0.0,0.5308771202274427,99.955,464.0,0.0,-2.220446049250313e-16,0.06779661016949157,2.MGケース
99,82824ECB020    ,2023,36,24.0,0.0,1.0,0.58,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,40.0,1.0,1.85,0.20999999999999996,1.015,0.2200000000000002,1.5899999999999999,23.625,矢崎総業（株）,112,2.7413793103448274,3.6411219206918126,0.0,0.8436631709568602,99.89500000000001,480.0,0.0,0.9874999999999998,111.0,3.ギヤサブ・共通部品
234,82824ECB020    ,2023,37,20.0,0.0,1.0,0.58,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,40.0,1.0,1.85,0.20000000000000018,0.9100000000000001,0.2400000000000002,1.5399999999999996,21.15,矢崎総業（株）,113,2.6551724137931028,3.3893422134099325,0.0,0.7813463798875238,99.44,462.0,-0.16666666666666663,-0.03144654088050336,0.008928571428571397,3.ギヤサブ・共通部品
377,82824ECB020    ,2023,38,22.0,0.0,1.0,0.58,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,40.0,1.0,1.8399999999999999,0.20000000000000018,1.0099999999999998,0.2599999999999998,1.5899999999999999,21.925,矢崎総業（株）,107,2.7413793103448274,3.596490152564747,0.0,0.8265164463212401,99.905,450.0,0.10000000000000009,0.032467532467532756,-0.053097345132743334,3.ギヤサブ・共通部品
530,82824ECB020    ,2023,39,17.0,0.0,1.0,0.58,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,40.0,1.0,1.85,0.21999999999999997,0.77,0.22999999999999954,1.23,21.95,矢崎総業（株）,115,2.1206896551724137,2.775940758158408,0.0,0.6583166108346419,99.955,464.0,-0.2272727272727273,-0.2264150943396226,0.07476635514018692,3.ギヤサブ・共通部品
