,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX
36,2030052002N    ,2023,36,2.808333333333333,0.11666666666666667,0.11666666666666667,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.5,2.671875,2.695,（株）杉浦製作所,16,5.34375,10.11702121272163,0.12,0.24211291225376833
37,2030052002N    ,2023,37,2.3916666666666666,0.13333333333333333,0.125,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.4444444444444444,2.976111111111111,2.628148148148148,（株）杉浦製作所,18,5.952222222222222,8.835143004126488,0.12,0.23263826725845338
38,2030052002N    ,2023,38,4.541666666666667,0.10833333333333334,0.10833333333333334,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.4615384615384615,2.924615384615385,2.6976923076923076,（株）杉浦製作所,13,5.84923076923077,16.345026082832025,0.12,0.25473826943470795
39,2030052002N    ,2023,39,4.708333333333333,0.15833333333333333,0.11666666666666667,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.375,1.85875,2.58875,（株）杉浦製作所,8,3.7175,17.65793302174113,0.12,0.2467454210606052
40,3040052001B    ,2023,36,3.23728813559322,0.3305084745762712,0.3220338983050847,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.3255813953488373,2.647857142857143,7.821333333333333,（株）青山製作所,43,5.092032967032967,3.6737120670742973,0.08,0.6030340066653045
41,3040052001B    ,2023,37,2.094488188976378,0.23622047244094488,0.18110236220472442,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.1875,1.3820689655172413,7.713517241379311,（株）青山製作所,32,2.6578249336870026,2.4100719909061463,0.08,0.5131871486751659
42,3040052001B    ,2023,38,2.4541484716157207,0.1615720524017467,0.13537117903930132,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.025,2.108,7.3255,（株）青山製作所,40,4.053846153846154,2.9735011786448986,0.08,0.5381086941951393
43,3040052001B    ,2023,39,3.0384615384615383,0.1794871794871795,0.15384615384615385,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,2.823529411764706,1.223529411764706,6.281529411764706,（株）青山製作所,34,2.3529411764705883,4.293316447126915,0.08,0.5373704532707937
44,33490ECB010    ,2023,36,53.675,3.625,3.8666666666666667,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.4765784114052953,1.215142857142857,92.23877551020408,マレリ（株）,491,1.4818815331010453,2.3655025308356494,0.23,1.0108889918432418
45,33490ECB010    ,2023,37,39.28813559322034,3.76271186440678,3.694915254237288,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.503968253968254,1.183061630218688,88.22067594433399,マレリ（株）,504,1.4427580856325464,1.8103224278841024,0.23,0.7805844055087074
46,33490ECB010    ,2023,38,44.625,3.4166666666666665,3.6,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.5129310344827587,1.185948275862069,86.70474137931035,マレリ（株）,464,1.446278385197645,2.0921859190006975,0.23,0.896448070656855
47,33490ECB010    ,2023,39,75.35,4.225,3.8666666666666667,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.3624454148471616,1.124344978165939,89.95687772925764,マレリ（株）,458,1.3711524123974865,3.40497381345316,0.23,1.4248904979788184
48,33490ECE010    ,2023,36,97.175,5.041666666666667,5.166666666666667,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.470948012232416,1.450183486238532,118.91093272171254,マレリ（株）,654,1.7903499830105334,3.32198491897897,0.23,1.414009908573673
49,33490ECE010    ,2023,37,77.775,4.933333333333334,4.9,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.502248875562219,1.4831934032983507,115.29010494752623,マレリ（株）,667,1.8311029670350008,2.7422868313743316,0.23,1.1757041776553845
50,33490ECE010    ,2023,38,92.025,4.55,4.783333333333333,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.5065573770491802,1.504967213114754,113.13770491803278,マレリ（株）,610,1.8579842137219185,3.3064606191603407,0.23,1.404271523822625
