シリアル,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,AVAILABLE_RATE,KAKO_CNT,先週からの順立装置在庫量の増加率,先週からの社内LTの増加率,先週からかんばん増加数,使用工程
8,2030045013L    ,2023,36,2.741666667,0.058333333,0.041666667,0.53,3,ＴＰ３３１フタナシ,1,1,1.96,2000,1,4.652857143,1.181142857,伊藤金属工業（株）,7,8.778975741,7.84188579,0,0.301876323,95.285,469.4,0,0,0,3.ギヤサブ・共通部品
159,2030045013L    ,2023,37,2.466666667,0.033333333,0.058333333,0.53,3,ＴＰ３３１フタナシ,1,1,1.96,2000,1,6.621666667,1.1115,伊藤金属工業（株）,6,12.49371069,7.497375918,0,0.284688169,90.551,445.7,-0.100303951,0.423139904,-0.142857143,3.ギヤサブ・共通部品
314,2030045013L    ,2023,38,2.158333333,0.041666667,0.041666667,0.53,3,ＴＰ３３１フタナシ,1,1,1.96,2000,1,4.1525,1.14025,伊藤金属工業（株）,4,7.83490566,6.394796463,0,0.284288273,94.16,430.5,-0.125,-0.372892021,-0.333333333,3.ギヤサブ・共通部品
458,2030045013L    ,2023,39,2.333333333,0.05,0.033333333,0.53,3,ＴＰ３３１フタナシ,1,1,1.96,2000,1,3.39,0.56175,伊藤金属工業（株）,2,6.396226415,14.03272431,0,0.159570762,98.06,454.5,0.081081081,-0.183624323,-0.5,3.ギヤサブ・共通部品
9,2030052002N    ,2023,36,2.808333333,0.116666667,0.116666667,0.5,3,ＴＰ３３１フタナシ,1,2,1.06,300,1.5,2.671875,2.695,（株）杉浦製作所,16,5.34375,10.11702121,0.12,0.242112912,95.285,469.4,0,0,0,2.MGケース
160,2030052002N    ,2023,37,2.391666667,0.133333333,0.125,0.5,3,ＴＰ３３１フタナシ,1,2,1.06,300,1.444444444,2.976111111,2.628148148,（株）杉浦製作所,18,5.952222222,8.835143004,0.12,0.232638267,90.551,445.7,-0.148367953,0.113866147,0.125,2.MGケース
315,2030052002N    ,2023,38,4.541666667,0.108333333,0.108333333,0.5,3,ＴＰ３３１フタナシ,1,2,1.06,300,1.461538462,2.924615385,2.697692308,（株）杉浦製作所,13,5.849230769,16.34502608,0.12,0.254738269,94.16,430.5,0.898954704,-0.017303026,-0.277777778,2.MGケース
459,2030052002N    ,2023,39,4.708333333,0.158333333,0.116666667,0.5,3,ＴＰ３３１フタナシ,1,2,1.06,300,1.375,1.85875,2.58875,（株）杉浦製作所,8,3.7175,17.65793302,0.12,0.246745421,98.06,454.5,0.036697248,-0.364446344,-0.384615385,2.MGケース
10,3040052001B    ,2023,36,3.237288136,0.330508475,0.322033898,0.52,3,ＴＰ３３１フタナシ,1,6,5.76,500,3.325581395,2.647857143,7.821333333,（株）青山製作所,43,5.092032967,3.673712067,0.08,0.603034007,95.285,469.4,0,0,0,3.ギヤサブ・共通部品
161,3040052001B    ,2023,37,2.094488189,0.236220472,0.181102362,0.52,3,ＴＰ３３１フタナシ,1,6,5.76,500,3.1875,1.382068966,7.713517241,（株）青山製作所,32,2.657824934,2.410071991,0.08,0.513187149,90.551,445.7,-0.353011502,-0.478042473,-0.255813953,3.ギヤサブ・共通部品
316,3040052001B    ,2023,38,2.454148472,0.161572052,0.135371179,0.52,3,ＴＰ３３１フタナシ,1,6,5.76,500,3.025,2.108,7.3255,（株）青山製作所,40,4.053846154,2.973501179,0.08,0.538108694,94.16,430.5,0.171717503,0.525249501,0.25,3.ギヤサブ・共通部品
460,3040052001B    ,2023,39,3.038461538,0.179487179,0.153846154,0.52,3,ＴＰ３３１フタナシ,1,6,5.76,500,2.823529412,1.223529412,6.281529412,（株）青山製作所,34,2.352941176,4.293316447,0.08,0.537370453,98.06,454.5,0.238091979,-0.419578078,-0.15,3.ギヤサブ・共通部品
11,33490ECB010    ,2023,36,53.675,3.625,3.866666667,0.82,3,ＴＰ３３１．５フタアリ,1,2,3.92,4,1.476578411,1.215142857,92.23877551,マレリ（株）,491,1.481881533,2.365502531,0.23,1.010888992,95.285,469.4,0,0,0,7.ファイナル前半
162,33490ECB010    ,2023,37,39.28813559,3.762711864,3.694915254,0.82,3,ＴＰ３３１．５フタアリ,1,2,3.92,4,1.503968254,1.18306163,88.22067594,マレリ（株）,504,1.442758086,1.810322428,0.23,0.780584406,90.551,445.7,-0.268036598,-0.026401198,0.026476578,7.ファイナル前半
317,33490ECB010    ,2023,38,44.625,3.416666667,3.6,0.82,3,ＴＰ３３１．５フタアリ,1,2,3.92,4,1.512931034,1.185948276,86.70474138,マレリ（株）,464,1.446278385,2.092185919,0.23,0.896448071,94.16,430.5,0.135839085,0.002439979,-0.079365079,7.ファイナル前半
461,33490ECB010    ,2023,39,75.35,4.225,3.866666667,0.82,3,ＴＰ３３１．５フタアリ,1,2,3.92,4,1.362445415,1.124344978,89.95687773,マレリ（株）,458,1.371152412,3.404973813,0.23,1.424890498,98.06,454.5,0.688515406,-0.051944338,-0.012931034,7.ファイナル前半
12,33490ECE010    ,2023,36,97.175,5.041666667,5.166666667,0.81,3,ＴＰ３３１．５フタアリ,1,2,3.92,4,1.470948012,1.450183486,118.9109327,マレリ（株）,654,1.790349983,3.321984919,0.23,1.414009909,95.285,469.4,0,0,0,7.ファイナル前半
163,33490ECE010    ,2023,37,77.775,4.933333333,4.9,0.81,3,ＴＰ３３１．５フタアリ,1,2,3.92,4,1.502248876,1.483193403,115.2901049,マレリ（株）,667,1.831102967,2.742286831,0.23,1.175704178,90.551,445.7,-0.199639825,0.02276258,0.019877676,7.ファイナル前半
318,33490ECE010    ,2023,38,92.025,4.55,4.783333333,0.81,3,ＴＰ３３１．５フタアリ,1,2,3.92,4,1.506557377,1.504967213,113.1377049,マレリ（株）,610,1.857984214,3.306460619,0.23,1.404271524,94.16,430.5,0.183220829,0.014680358,-0.085457271,7.ファイナル前半
462,33490ECE010    ,2023,39,119.1916667,5.325,4.841666667,0.81,3,ＴＰ３３１．５フタアリ,1,2,3.92,4,1.364963504,1.307189781,112.3275547,マレリ（株）,548,1.613814544,4.313447144,0.23,1.803376766,98.06,454.5,0.295209635,-0.131416439,-0.101639344,7.ファイナル前半
13,34989ECB010    ,2023,36,3.108333333,0.008333333,0.025,0.81,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,15.04,0.468,（株）槌屋,1,18.56790123,19.94515883,0,0.152096709,95.285,469.4,0,0,0,7.ファイナル前半
164,34989ECB010    ,2023,37,2.191666667,0.016666667,0.016666667,0.81,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,8.055,0.234,（株）槌屋,2,9.944444444,28.12641702,0,0.077247202,90.551,445.7,-0.294906166,-0.464428191,1,7.ファイナル前半
319,34989ECB010    ,2023,38,1.525,0.016666667,0.016666667,0.81,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,7.23,0.486,（株）槌屋,2,8.925925926,9.42300325,0,0.153523955,94.16,430.5,-0.30418251,-0.102420857,0,7.ファイナル前半
14,34989ECB020    ,2023,36,7.208333333,0.05,0.075,0.81,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,5.42125,1.81625,（株）槌屋,8,6.692901235,11.91831887,0,0.52138405,95.285,469.4,0,0,0,8.ファイナル後半
