,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,AVAILABLE_RATE,KAKO_CNT
52,36108ECB010    ,2023,36,4.55,0.1,0.10833333333333334,0.64,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150.0,1.0,2.8541666666666665,2.503888888888889,（株）オーハシテクニカ,12,4.459635416666666,6.118428572389078,0.0,0.5201479059460896,95.285,469.4
53,41310ECB010    ,2023,36,55.68333333333333,8.15,7.7,0.69,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2.0,2.52324431256182,0.9455072463768116,187.22017837235228,（株）オンド,1011,1.370300357067843,2.3793731559250073,0.05,0.9511132893343522,95.285,469.4
54,41310ECE010    ,2023,36,143.29166666666666,9.791666666666666,10.016666666666667,0.7,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2.0,2.531322505800464,1.3497294938917974,236.94851657940663,（株）オンド,1293,1.9281849912739963,4.837900443023757,0.05,1.8873423663649445,95.285,469.4
55,5040056001E    ,2023,36,4.846153846153846,0.27350427350427353,0.24786324786324787,0.58,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300.0,1.0,2.0909375,5.558333333333334,サトープレス工業（株）,32,3.6050646551724137,3.136229339674379,0.0,0.540113123997421,95.285,469.4
56,82125ECB010    ,2023,36,5.516666666666667,0.13333333333333333,0.16666666666666666,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100.0,1.0,2.283125,3.5725000000000002,矢崎総業（株）,16,3.9364224137931036,5.534779231702412,0.0,0.5940904115543824,95.285,469.4
57,82125ECE010    ,2023,36,8.05,0.2,0.19166666666666668,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100.0,1.0,2.61125,4.75,矢崎総業（株）,24,4.502155172413794,6.074325598943596,0.0,0.7277279801598731,95.285,469.4
58,82821CWA030    ,2023,36,10.358333333333333,0.175,0.18333333333333332,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200.0,1.4761904761904763,3.9542857142857137,4.156190476190476,石黒ゴム工業（株）,21,4.76419965576592,10.7425270236101,0.29,0.7950560362030548,95.285,469.4
59,82821ECB010    ,2023,36,4.683333333333334,0.09166666666666666,0.08333333333333333,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400.0,1.4545454545454546,4.533636363636363,2.080454545454545,石黒ゴム工業（株）,11,5.4622124863088715,9.70306304134365,0.29,0.43175054647018946,95.285,469.4
60,82821ECB020    ,2023,36,10.466666666666667,0.18333333333333332,0.175,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,200.0,1.5238095238095237,4.100952380952381,4.1811904761904755,石黒ゴム工業（株）,21,4.713738368910783,10.789975435378945,0.29,0.7996151540506206,95.285,469.4
61,82821ECB040    ,2023,36,4.4,0.15,0.15,0.83,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,100.0,1.5,2.42,3.6033333333333335,石黒ゴム工業（株）,18,2.9156626506024095,5.263325783916552,0.29,0.6073020521418376,95.285,469.4
62,82821ECB050    ,2023,36,18.808333333333334,0.35,0.36666666666666664,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,100.0,1.5476190476190477,3.3988095238095237,8.33595238095238,石黒ゴム工業（株）,42,4.0949512335054505,9.725391724177328,0.29,1.3143337363246284,95.285,469.4
63,82821ECE010    ,2023,36,33.9,0.4083333333333333,0.4,1.07,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,50.0,1.489795918367347,5.085510204081633,9.210612244897959,石黒ゴム工業（株）,49,4.752813274842647,15.864384013789435,0.29,1.6196675805464942,95.285,469.4
64,82821XAE010    ,2023,36,21.1,0.375,0.36666666666666664,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,100.0,1.488888888888889,3.565555555555555,8.367333333333333,石黒ゴム工業（株）,45,4.098339719029374,10.869445764728185,0.29,1.3637997935597317,95.285,469.4
65,82821XAE020    ,2023,36,1.6833333333333333,0.03333333333333333,0.03333333333333333,0.81,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400.0,1.5,4.5525,0.98125,石黒ゴム工業（株）,4,5.62037037037037,7.394391975986529,0.29,0.2121649195005104,95.285,469.4
66,82824ECB010    ,2023,36,9.88135593220339,0.4830508474576271,0.4661016949152542,0.57,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,32.0,1.0,1.515438596491228,11.417214912280702,矢崎総業（株）,57,2.658664204370576,3.102074071837592,0.0,0.65482159615249,95.285,469.4
67,82824ECB020    ,2023,36,23.091666666666665,0.9166666666666666,0.8916666666666667,0.58,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,40.0,1.0,1.7963636363636364,21.017500000000002,矢崎総業（株）,110,3.09717868338558,3.9379483928381345,0.0,0.8879250756770125,95.285,469.4
68,82824ECE010    ,2023,36,15.95,0.43333333333333335,0.44166666666666665,0.36,1.0,ＴＰ３３２,1.0,1.0,3.25,45.0,1.0,1.970566037735849,10.50482180293501,住友電装（株）,53,5.473794549266247,3.5725890899187167,0.0,1.0922673510652738,95.285,469.4
69,9010506A003    ,2023,36,2.2666666666666666,0.025,0.03333333333333333,0.52,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,2000.0,5.5,7.8566666666666665,0.5266666666666667,（株）青山製作所,4,15.108974358974358,38.19938581379671,0.08,0.059161048940774015,95.285,469.4
70,9010506A089    ,2023,36,3.1333333333333333,0.03333333333333333,0.05,0.5,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1500.0,3.8,4.59,0.9551999999999999,（株）青山製作所,5,9.18,29.115003023004565,0.08,0.10685960318806333,95.285,469.4
71,9010508A014    ,2023,36,27.629166666666666,1.65,1.6666666666666667,0.54,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.3693181818181817,1.2531976744186046,64.28752906976744,（株）青山製作所,352,2.320736434108527,3.8145701583069958,0.08,1.5571399382099453,95.285,469.4
72,9010508A042    ,2023,36,1.7741935483870968,0.3225806451612903,0.23655913978494625,0.53,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,300.0,3.121212121212121,0.8706060606060606,6.209090909090909,（株）青山製作所,33,1.6426529445397369,2.53616515619284,0.08,0.4570934149504936,95.285,469.4
73,9010512A018    ,2023,36,33.075,2.408333333333333,2.45,0.74,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,200.0,3.514018691588785,1.1786538461538463,58.7875,（株）青山製作所,321,1.592775467775468,4.993665128767109,0.08,1.865381568608737,95.285,469.4
74,9011906A065    ,2023,36,3.075,0.1,0.10833333333333334,0.53,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1000.0,3.4166666666666665,2.3175,2.5492500000000002,（株）青山製作所,12,4.3726415094339615,10.7062467032594,0.08,0.2731249280091343,95.285,469.4
75,9014908A008    ,2023,36,4.683333333333334,0.16666666666666666,0.13333333333333333,0.52,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,800.0,2.9565217391304346,2.54,3.3496022727272727,（株）青山製作所,23,4.884615384615384,12.40984569294344,0.08,0.35653764440544544,95.285,469.4
76,9015905A007    ,2023,36,4.483333333333333,0.10833333333333334,0.1,0.53,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,2000.0,3.230769230769231,3.3453846153846154,2.134846153846154,（株）青山製作所,13,6.312046444121916,18.639703538633384,0.08,0.23470180229081394,95.285,469.4
77,9015906A021    ,2023,36,4.033333333333333,0.25833333333333336,0.25,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1200.0,3.3333333333333335,1.6628125,6.121458333333333,（株）青山製作所,33,3.1977163461538463,5.848086292299194,0.08,0.5621838844023036,95.285,469.4
78,9015906A022    ,2023,36,6.233333333333333,0.35,0.35833333333333334,0.51,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1500.0,3.3863636363636362,1.3858139534883722,8.65372093023256,（株）青山製作所,44,2.7172822617419063,6.393254905378077,0.08,0.7538898907985695,95.285,469.4
79,9015906A023    ,2023,36,5.091666666666667,0.09166666666666666,0.1,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1300.0,2.6363636363636362,3.2990000000000004,2.1117692307692306,（株）青山製作所,11,6.344230769230769,21.40021127017084,0.08,0.23294547889564682,95.285,469.4
80,9020150A002    ,2023,36,5.216666666666667,0.14166666666666666,0.16666666666666666,0.73,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100.0,1.0,2.4717647058823533,3.8117647058823527,（株）ムロコーポレーション,21,3.385979049153909,7.910809010680559,0.0,0.43789102236232835,95.285,469.4
81,9020156A001    ,2023,36,5.425,0.11666666666666667,0.16666666666666666,0.75,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100.0,1.0,3.0364285714285715,3.4792857142857145,（株）ムロコーポレーション,19,4.048571428571429,9.012879101631334,0.0,0.428307650780323,95.285,469.4
82,9020156A002    ,2023,36,4.129310344827586,0.16379310344827586,0.19827586206896552,0.73,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100.0,1.0,2.160526315789474,5.0063157894736845,（株）ムロコーポレーション,25,2.959625090122567,4.7677467678019205,0.0,0.41192682498527616,95.285,469.4
83,9025006A007    ,2023,36,2.2872340425531914,0.18085106382978725,0.14893617021276595,0.76,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,200.0,1.4782608695652173,2.494,2.9825000000000004,（株）ギフ加藤製作所,23,3.281578947368421,3.1953535101329855,0.12,0.47298644614982555,95.285,469.4
84,9030106A018    ,2023,36,2.808333333333333,0.1,0.09166666666666666,0.56,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,2000.0,1.6363636363636365,4.427272727272728,2.4711363636363637,ＮＯＫ（株）,11,7.9058441558441555,5.028558468149433,0.03,0.4396481678117547,95.285,469.4
85,9030111A014    ,2023,36,6.208333333333333,0.18333333333333332,0.16666666666666666,0.56,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.5909090909090908,2.9372727272727275,4.251363636363636,ＮＯＫ（株）,22,5.24512987012987,6.461574173509865,0.03,0.7055065204623403,95.285,469.4
86,9030115A011    ,2023,36,2.8333333333333335,0.05,0.041666666666666664,0.56,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.3333333333333333,4.778333333333333,1.0346666666666666,ＮＯＫ（株）,6,8.532738095238095,12.116823282547216,0.03,0.22334525560888294,95.285,469.4
87,9030117A010    ,2023,36,3.9583333333333335,0.05,0.05,0.54,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.5714285714285714,6.102857142857142,1.2842857142857143,ＮＯＫ（株）,7,11.3015873015873,13.637735799528157,0.03,0.275955638968071,95.285,469.4
88,9030119A010    ,2023,36,2.3333333333333335,0.025,0.041666666666666664,0.58,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,2.0,5.2875,0.979,ＮＯＫ（株）,4,9.116379310344827,10.545948698479275,0.03,0.2105060812774134,95.285,469.4
89,9030119A011    ,2023,36,4.05,0.15,0.14166666666666666,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,200.0,1.6111111111111112,1.8505555555555557,3.647777777777778,ＮＯＫ（株）,18,3.4269547325102883,4.912676997889368,0.03,0.5853485289777005,95.285,469.4
90,9031150A014    ,2023,36,6.533333333333333,0.43333333333333335,0.43333333333333335,0.54,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84.0,1.5925925925925926,1.7037037037037037,9.833112874779543,ＮＯＫ（株）,54,3.1550068587105624,2.939918918902831,0.03,0.7826103032293839,95.285,469.4
