,Unnamed: 0,KUMI_CD,LINE_CD,LINE_SUB_CD,KANRIBAN_CD,LINE_DATE,TYOKU_KBN,OFFICE_HOURS,WORKING_HOURS,LINE_START_TIME,LINE_END_TIME,LINE_STOP_HOURS,MACHINE_STOP_HOURS,HINPATU_STOP_CNT,HINPATU_STOP_TIME,HURYOU_QUANT_CNT,HURYOU_WEIGHT_CNT,TENAOSHI_CNT,HORYUU_CNT,LAST_SERIAL_NO,OPERATION_RATE,SPEC_OPERATION_RATE,OVERALL_EQUIPMENT_EFFICIENCY,TARGET_AVAILABLE_RATE,AVAILABLE_HOURS,KAKO_CNT,AVAILABLE_RATE,HURYOU_RATE,CHOKO_RATE,KANKEN_NG_RATE,SYUTUKEN_NG_RATE,DIRECT_MANHOURS,TOTAL_MANHOURS,TOTAL_TIME,DIRECT_TIME,INDIRECT_TIME,NOTES,KANRIBAN_STAFF_CD,CREATE_STAFF_CD,CREATE_TIME,UPDATE_STAFF_CD,UPDATE_TIME,FIRST_SERIAL_NO,KANSEI_SHOUNIN_STAFF,AUTHOR,PDF_NAME,HUB_CD
1656,358052,B121,MA8414,A,M01,2023-12-08,1,750,430.0,2023/12/08 08:30:00,2023/12/08 17:30:00,0,0,< NULL >,< NULL >,0,0,0,0,12/8-317D,86.88,124.3,108.0,< NULL >,0,324,108.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,30930,M01,2023/12/08 08:00:55,30930,2023/12/08 19:11:57,12/8-1D,29998,30930,< NULL >,IB000
1657,358053,B121,MA8414,A,M01,2023-12-09,1,750,0.0,2023/12/09 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/09 08:00:55,SYS_TT,2023/12/09 08:15:14,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1658,358054,B121,MA8414,A,M01,2023-12-10,2,690,0.0,2023/12/10 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/10 08:00:51,SYS_TT,2023/12/10 08:15:09,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1659,358074,B112,AS8606,B,M01,2023-12-09,2,690,0.0,2023/12/09 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/09 08:00:38,SYS_TT,2023/12/09 08:15:02,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1660,358075,B112,AS8606,B,M01,2023-12-10,1,750,0.0,2023/12/10 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/10 08:00:35,SYS_TT,2023/12/10 08:15:02,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1661,358076,B112,AS8606,B,M01,2023-12-11,1,750,0.0,2023/12/11 08:30:00,2023/12/11 08:30:00,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,30106,M01,2023/12/11 08:00:36,30106,2023/12/19 19:39:10,< NULL >,30106,32967,< NULL >,IB000
1662,358087,B121,MA8402,B,M01,2023-12-11,2,690,0.0,2023/12/11 22:00:00,2023/12/11 22:00:00,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,33132,M01,2023/12/11 08:00:45,33132,2023/12/12 10:29:21,< NULL >,< NULL >,33132,< NULL >,IB000
1663,358093,B121,MA8402,B,M01,2023-12-13,2,690,0.0,2023/12/13 22:00:00,2023/12/13 22:00:00,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,33132,M01,2023/12/13 08:00:43,33132,2023/12/14 10:54:49,< NULL >,< NULL >,33132,< NULL >,IB000
1664,358094,B121,MA8402,B,M01,2023-12-14,2,690,0.0,2023/12/14 22:00:00,2023/12/14 22:00:00,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,33132,M01,2023/12/14 08:01:00,33132,2023/12/15 09:34:14,< NULL >,< NULL >,33132,< NULL >,IB000
1665,358095,B121,MA8402,B,M01,2023-12-15,2,690,0.0,2023/12/15 22:00:00,2023/12/15 22:00:00,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,33132,M01,2023/12/15 08:00:53,33132,2023/12/18 10:05:24,< NULL >,< NULL >,33132,< NULL >,IB000
1666,358096,B121,MA8402,B,M01,2023-12-16,2,690,0.0,2023/12/16 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/16 08:00:59,SYS_TT,2023/12/16 08:15:08,< NULL >,< NULL >,< NULL >,< NULL >,IB000
